Drug	Gene
D04UBY	T03500
D0YN1A	T03500
D0M2RC	T03500
D0L6ND	T03500
D0T9HG	T03500
D0LB0N	T03500
D0W9TD	T03500
D03QXD	T03500
D0TL3N	T03500
D05OZZ	T03500
D0C2GR	T03529
D0M5DR	T03529
D05AMQ	T03529
D00EFT	T03556
D0R3MO	T03581
D0Q0ZY	T03634
DIY4C2	T03634
D0DA5M	T03634
D00DXI	T03634
D0J3JI	T03634
D03XXT	T03634
D06EHE	T03661
D01XFT	T03661
D09JNN	T03661
D0D7CM	T03661
D0D8YG	T03661
D06QTC	T03661
D00FIT	T03661
D0KC9E	T03661
D0E6ON	T03661
D08ZMX	T03661
D0V6TX	T03661
D04GWR	T03661
D0D2OM	T03661
D08FWE	T03661
D03PLV	T03661
D05ZHQ	T03661
D0G0TP	T03661
D0T3AD	T03661
D05RDO	T03661
D0R7RB	T03661
D0F2XQ	T03661
D05GJW	T03661
D0V4WB	T03661
D0L5XY	T03661
D0V4UU	T03661
D0R7JA	T03687
D00TWK	T03691
D0P7DF	T03691
D0Q8LS	T03691
D02TMR	T03691
D0U1EV	T03691
D0PF9Q	T03691
D0I7MC	T03691
D01KOI	T03691
D07ZJS	T03691
D03UIF	T03691
D0U2AM	T03691
D02AYI	T03691
D0LZ3O	T03691
D00FCJ	T03691
D0HA1K	T03691
D0M2CY	T03691
D07VNH	T03691
D0I4OV	T03691
D05NXQ	T03691
D00FDS	T03691
D09PGC	T03691
D01QWO	T03691
D07TVA	T03691
D0B0DP	T03691
D03GON	T03691
D0SZ9E	T03691
D0C8MT	T03691
D04CZF	T03691
D08WZB	T03691
D0Y6IV	T03691
D0N6TC	T03691
D09MDO	T03691
D01RVF	T03691
D09OWF	T03691
D0W2OP	T03691
D0J0WO	T03691
D0F2ME	T03691
D08TNQ	T03691
D0R7BT	T03691
D0VN8V	T03691
D0U1UV	T03691
D0B9UW	T03691
D08UIO	T03691
D0Z6DL	T03691
D0V0MH	T03691
D04ZLZ	T03691
D0RA5Q	T03691
D09DRF	T03691
D07LTR	T03691
D00YCG	T03691
D0A2YG	T03691
D0G0JC	T03691
D00UIN	T03691
D01YJJ	T03691
D06RWH	T03691
D00TNN	T03691
D06XEL	T03691
D04DRM	T03691
D0C1XE	T03691
D06SMN	T03691
D0H9NZ	T03691
D07KBF	T03691
D0DI4I	T03691
D0G8SW	T03691
D09BWE	T03691
D06ETI	T03755
D0LB4T	T03818
D07IHY	T03818
D0A1SP	T03818
D0D0FQ	T03818
D01UVA	T03818
D08QXD	T03818
D09JII	T03818
D0Q4UD	T03818
D0G9AI	T03818
D08XGH	T03818
D04JOG	T03818
D0Q4EU	T03818
D01RPM	T03818
D0JU5X	T03818
D0I2DF	T03818
D04DYM	T03818
D03BPG	T03818
D0P5QM	T03818
D0X9UJ	T03818
D06GYO	T03818
D0Q9FZ	T03818
D0M8VN	T03818
D00EOP	T03818
D0SO9Q	T03818
D0W9WU	T03818
D00ACX	T03818
D06NHI	T03818
D0Z4NW	T03818
D0U5HX	T03818
D0F0MP	T03818
D0IW8V	T03818
D08QKF	T03818
D04FVX	T03818
D0X3RZ	T03818
D0Z2CY	T03818
D0L4PT	T03818
D06IHG	T03818
D0P8XE	T03818
D0P1US	T03818
D0M7AT	T03818
D06UVY	T03818
D0Z7OX	T03818
D0T8JM	T03818
D0R9VV	T03818
D0M9LL	T03818
D0HI6O	T03818
D0J9ZA	T03818
D0RL8P	T03818
D06OBX	T03818
D08UUK	T03917
D02OZE	T03917
D0A4YK	T03917
D0P6EL	T03917
D06HIO	T03917
D0M3QP	T03917
D0T3NB	T03917
D08UUK	T03917
D02OZE	T03917
D0A4YK	T03917
D0P6EL	T03917
D06HIO	T03917
D0M3QP	T03917
D0T3NB	T03917
D08UUK	T03917
D02OZE	T03917
D0A4YK	T03917
D0P6EL	T03917
D06HIO	T03917
D0M3QP	T03917
D0T3NB	T03917
D08UUK	T03917
D02OZE	T03917
D0A4YK	T03917
D0P6EL	T03917
D06HIO	T03917
D0M3QP	T03917
D0T3NB	T03917
D08UUK	T03917
D02OZE	T03917
D0A4YK	T03917
D0P6EL	T03917
D06HIO	T03917
D0M3QP	T03917
D0T3NB	T03917
D08UUK	T03917
D02OZE	T03917
D0A4YK	T03917
D0P6EL	T03917
D06HIO	T03917
D0M3QP	T03917
D0T3NB	T03917
D0S2HQ	T04149
D0PW7B	T04149
D00EFA	T04210
D0I0LW	T04210
D0RO9R	T04303
D0X7IC	T04361
D03BJF	T04361
D0N1HE	T04388
D00DIF	T04388
D0VK9Y	T04388
D00WMV	T04388
D0I2FI	T04388
D0I6MA	T04388
D0T0AG	T04388
D06PZZ	T04388
D0E7VO	T04413
D03TIA	T04497
D02VQO	T04497
D01JLO	T04507
D0EV3O	T04507
D0SU5M	T04507
D06GOK	T04507
D06DWW	T04507
D0UJ6V	T04507
D00SOE	T04507
D08FDY	T04507
D08DUM	T04507
D0H4NR	T04507
D00YVJ	T04507
D0T2HN	T04507
D04HQL	T04507
D03LMH	T04507
D04AWP	T04507
D07FJR	T04507
D09WVP	T04507
D03HYZ	T04507
D09QIC	T04507
D05QNO	T04689
D0X2NH	T04741
D05YCQ	T04741
D09KUE	T04741
D0T4JD	T04741
D0B3XP	T04741
D0D9NQ	T04741
D04JWS	T04741
D0A2JV	T04741
D0Z5WG	T04741
D0I2DB	T04741
D03NSJ	T04741
D02HXC	T04741
D0C1DQ	T04831
D0N9DU	T04831
D04WFN	T04831
D0N6QM	T04902
D08TCW	T04902
D07ZYE	T04902
D03UYO	T04902
D00QHT	T04902
D00JPH	T04902
D0G5ZE	T04902
D0W9ZV	T04902
D06VTU	T04902
D0NJ1A	T04902
D0S9XO	T04902
D0T4FT	T04902
D01HUQ	T04902
D0G0HK	T04902
D0QQ1J	T04902
D0L2AO	T04902
D03BHZ	T05031
D00HSJ	T05031
D0R0TW	T05031
D03EHM	T05031
D01SSI	T05031
D0D0QA	T05031
D0G3MN	T05031
D01QSO	T05031
D0TU7B	T05031
D05CBJ	T05031
D0KJ2J	T05031
D06DNH	T05031
D0R4WJ	T05089
D09VXM	T05089
D0PW7B	T05089
D0W1GH	T05089
D0Z3DY	T05089
D08DQL	T05089
D02DAJ	T05089
D0O6KR	T05089
D0A2UX	T05089
D06TKI	T05090
D00HXX	T05090
D00VXM	T05090
D07KZA	T05114
D0H3SL	T05114
D05QCE	T05114
D0PA1G	T05114
D0C8UF	T05114
D08QZD	T05114
DGD72N	T05114
D0J3SW	T05114
D0L0QR	T05114
D0F3CS	T05114
D01YIO	T05114
D0I8FV	T05114
D0P2EH	T05164
DQM0X1	T05351
D0C7LS	T05387
D09NAJ	T05409
D0K1MA	T05409
D01HDP	T05409
D0N4RO	T05409
D02DLE	T05409
D0DY1C	T05409
D09PYD	T05409
D0H1GF	T05409
D09SZG	T05409
D01IPI	T05409
D02NQB	T05409
D05UQD	T05409
D04MBS	T05409
D0PB5Q	T05409
D02HBW	T05409
D0KR3X	T05409
D09GXF	T05409
D0DS4P	T05409
D0N5HN	T05409
D0M0RN	T05409
D00ERV	T05409
D09JES	T05409
D0K9YR	T05409
D0I5QZ	T05409
D0L2IQ	T05409
D06WBA	T05409
D03CPM	T05409
D0K6SM	T05409
D04LAQ	T05409
D04DHD	T05409
D0LJ8C	T05409
D0WF7K	T05409
D02HUY	T05409
D0DO9W	T05806
D00VJY	T05828
D0U5NA	T05849
D01ZDR	T05849
D0G1CK	T05849
D0H7FW	T05849
D0ES2U	T05849
D0L9OU	T05849
D0R4TA	T05849
D01AQC	T05849
D02MIN	T05849
D0XJ0S	T05849
D0M6ZF	T05849
D04KHY	T05849
D0EG1F	T05849
D00FLQ	T05849
D0A7RT	T05849
D0X7LC	T05849
D0G7RE	T05849
D0F5WV	T05849
D08QKT	T05849
D07YHY	T05849
D0V9DY	T05849
D0J0NS	T05849
D0V0RB	T05849
D0E8QK	T05849
D0QP2S	T05849
D0U6OA	T05849
D0I8AF	T05849
D05OUQ	T05849
D03WGS	T05849
D0Y8KY	T05849
D0I3BT	T05849
D0S7SO	T05849
D0O0AR	T05849
D01ADK	T05849
D0R4GI	T05849
D00UEG	T05849
D06NIP	T05849
D0H5WM	T05849
D0C2KS	T05849
D0TR0U	T05849
D07SXO	T05849
D05HYL	T05849
