Drug	Gene
D00465	CHRM3
D00722	CHRM3
D07078	CHRM3
D03979	CHRM3
D07301	CHRM3
D07302	CHRM3
D07823	CHRM3
D02603	CHRM3
D07820	CHRM3
D00717	CHRM3
D05452	CHRM3
D00397	CHRM3
D08160	CHRM3
D04868	CHRM3
D04087	CHRM3
D01359	CHRM3
D06192	CHRM3
D08395	CHRM3
D01231	CHRM3
D08382	CHRM3
D01165	CHRM3
D02876	CHRM3
D06061	CHRM3
D10989	CHRM3
D11383	CHRM3
D11549	CHRM3
D00270	CHRM3
D03274	CHRM3
D04034	CHRM3
D00789	CHRM3
D07759	CHRM3
D01002	CHRM3
D10978	CHRM3
D00138	CHRM3
D02071	CHRM3
D00778	CHRM3
D00147	CHRM3
D04479	CHRM3
D00719	CHRM3
D01004	CHRM3
D00113	CHRM3
D02069	CHRM3
D07511	CHRM3
D07303	CHRM3
D08653	CHRM3
D03970	CHRM3
D05035	CHRM3
D08209	CHRM3
D01871	CHRM3
D05628	CHRM3
D08325	CHRM3
D01006	CHRM3
D08389	CHRM3
D01297	CHRM3
D05276	CHRM3
D10545	CHRM3
D10546	CHRM3
D02064	CHRM3
D10873	PDE4A
D04185	PDE4A
D03516	PDE4A
D05744	PDE4A
D00302	PDE4A
D01712	PDE4A
D01385	PDE4A
D01771	PDE4A
D07961	PDE4A
D00718	PDE4A
D11743	PDE4A
D03075	PDE4A
D07089	PDE4A
D08238	PDE4A
D09020	PDE4A
D01238	PDE4A
D07546	PDE4A
D02985	PDE4A
D01630	PDE4A
D04006	PDE4A
D01220	PDE4A
D02655	PDE4A
D05278	PDE4A
D07088	PDE4A
D07879	PDE4A
D06132	PDE4A
D08860	PDE4A
D11314	PDE4A
D02017	PDE4A
D00528	PDE4A
D07603	PDE4A
D01453	PDE4A
D09822	PDE4A
D00691	PDE4A
D00371	PDE4A
D06104	PDE4A
D00227	PDE4A
D05429	PDE4A
D11630	PDE4A
D06103	PDE4A
D05612	PDE4A
D11305	PDE4A
D05474	PDE4A
D01704	PDE4A
D01783	PDE4A
D07425	PDE4A
D02218	PDE4A
D07439	PDE4A
D10873	PDE4D
D04185	PDE4D
D03516	PDE4D
D05744	PDE4D
D01712	PDE4D
D01385	PDE4D
D01771	PDE4D
D07961	PDE4D
D00718	PDE4D
D11743	PDE4D
D03075	PDE4D
D07089	PDE4D
D08238	PDE4D
D09020	PDE4D
D01238	PDE4D
D07546	PDE4D
D02985	PDE4D
D01630	PDE4D
D04006	PDE4D
D01220	PDE4D
D02655	PDE4D
D05278	PDE4D
D07088	PDE4D
D07879	PDE4D
D06132	PDE4D
D08860	PDE4D
D11314	PDE4D
D02017	PDE4D
D00528	PDE4D
D07603	PDE4D
D01453	PDE4D
D09822	PDE4D
D00691	PDE4D
D00371	PDE4D
D06104	PDE4D
D00227	PDE4D
D05429	PDE4D
D11630	PDE4D
D06103	PDE4D
D05612	PDE4D
D11305	PDE4D
D05474	PDE4D
D01704	PDE4D
D01783	PDE4D
D07425	PDE4D
D02218	PDE4D
D07439	PDE4D
D04026	ADRA1A
D07906	ADRA1A
D00679	ADRA1A
D08192	ADRA1A
D01019	ADRA1A
D08368	ADRA1A
D08206	ADRA1A
D01952	ADRA1A
D01224	ADRA1A
D00124	ADRA1A
D04018	ADRA1A
D01386	ADRA1A
D08449	ADRA1A
D05649	ADRA1A
D00485	ADRA1A
D07905	ADRA1A
D01163	ADRA1A
D08982	ADRA1A
D01965	ADRA1A
D01277	ADRA1A
D00076	ADRA1A
D05206	ADRA1A
D08284	ADRA1A
D09794	ADRA1A
D08286	ADRA1A
D01405	ADRA1A
D08578	ADRA1A
D00756	ADRA1A
D01023	ADRA1A
D08029	ADRA1A
