drug	gene
DB00042	VAMP2
DB00042	VAMP1
DB00042	SYT2
DB00043	FCER1A
DB00043	MS4A2
DB00044	LHCGR
DB00045	TLR2
DB00046	INSR
DB00046	IGF1R
DB00047	INSR
DB00047	IGF1R
DB00048	COL1A1
DB00048	COL2A1
DB00048	COL3A1
DB00050	GNRHR
DB00050	LHCGR
DB00051	TNF
DB00052	GHR
DB00052	PRLR
DB00054	ITGB3
DB00054	ITGA2B
DB00054	FCGR2A
DB00054	FCGR2B
DB00054	VTN
DB00055	F8
DB00055	F5
DB00055	SERPINE1
DB00055	THBD
DB00055	PROS1
DB00055	F2
DB00055	PF4
DB00055	SERPINA5
DB00055	SERPINB6
DB00055	PROCR
DB00056	CD33
DB00056	FCGR3B
DB00056	FCGR3A
DB00056	FCGR1A
DB00058	ELANE
DB00060	IFNAR1
DB00060	IFNAR2
DB00061	GRB2
DB00063	ITGB3
DB00065	TNF
DB00066	FSHR
DB00067	AVPR2
DB00067	AVPR1A
DB00067	AVPR1B
DB00067	OXTR
DB00068	IFNAR1
DB00068	IFNAR2
DB00069	IFNAR1
DB00069	IFNAR2
DB00070	TGFB1
DB00071	INSR
DB00071	IGF1R
DB00072	ERBB2
DB00073	MS4A1
DB00074	IL2RA
DB00074	IL2RB
DB00075	CD3D
DB00075	CD3E
DB00075	CD3G
DB00075	CD247
DB00075	FCGR3B
DB00078	MS4A1
DB00081	MS4A1
DB00081	FCGR2B
DB00082	GHR
DB00083	SNAP25
DB00083	RHOB
DB00086	PLG
DB00086	F2R
DB00087	CD52
DB00087	FCGR3B
DB00087	FCGR3A
DB00087	FCGR1A
DB00087	FCGR2A
DB00087	FCGR2B
DB00087	FCGR2C
DB00089	FOLH1
DB00091	CAMLG
DB00091	PPP3R2
DB00091	PPIA
DB00091	PPIF
DB00092	CD2
DB00092	FCGR3A
DB00092	FCGR3B
DB00093	AVPR1A
DB00094	FSHR
DB00095	ITGAX
DB00095	ITGAL
DB00097	LHCGR
DB00097	FSHR
DB00098	MR1
DB00098	ITGAL
DB00098	CD86
DB00098	FCGR2B
DB00098	CD4
DB00098	ITGB1
DB00098	ITGAV
DB00098	ITGB3
DB00098	CD1A
DB00099	CSF3R
DB00100	F10
DB00100	F11
DB00100	F7
DB00100	F8
DB00100	F2
DB00100	LRP1
DB00100	GGCX
DB00102	PDGFRB
DB00102	PDGFRA
DB00102	A2M
DB00105	IFNAR2
DB00105	IFNAR1
DB00106	GNRHR
DB00107	OXTR
DB00108	ITGA4
DB00108	FCGR3B
DB00108	ICAM1
DB00108	FCGR1A
DB00110	FCGR3B
DB00110	C1R
DB00110	C1QA
DB00110	C1QB
DB00110	C1QC
DB00110	FCGR3A
DB00110	FCGR1A
DB00110	FCGR2B
DB00111	IL2RA
DB00111	IL2RB
DB00111	FCGR3B
DB00111	C1R
DB00111	C1QA
DB00111	C1QB
DB00111	C1QC
DB00111	FCGR3A
DB00111	FCGR1A
DB00111	FCGR2A
DB00111	FCGR2B
DB00111	FCGR2C
DB00112	VEGFA
DB00112	C1QA
DB00112	C1QB
DB00112	C1QC
DB00112	FCGR3A
DB00112	FCGR1A
DB00112	FCGR2A
DB00112	FCGR2B
DB00112	FCGR2C
DB00113	CEACAM1
DB00114	AGXT2
DB00114	GAD1
DB00114	CBS
DB00114	KYNU
DB00114	SHMT1
DB00114	NFS1
DB00114	GOT1
DB00114	OAT
DB00114	ODC1
DB00114	AADAT
DB00114	ABAT
DB00114	PNPO
DB00114	SGPL1
DB00114	TAT
DB00114	CCBL1
DB00114	SPTLC2
DB00114	CSAD
DB00114	HDC
DB00114	AZIN2
DB00114	SDS
DB00114	GCAT
DB00114	GLDC
DB00114	GPT
DB00114	PSAT1
DB00114	ALAS1
DB00114	AGXT
DB00114	PDXP
DB00114	SPTLC1
DB00114	CTH
DB00114	BCAT1
DB00114	BCAT2
DB00114	PROSC
DB00114	GOT2
DB00114	PYGB
DB00114	PYGM
DB00114	DDC
DB00114	GIG18
DB00114	Q53ET4
DB00114	Q59FK2
DB00114	Q59GM9
DB00114	ALAS1
DB00114	GAD2
DB00114	DDC
DB00114	CCBL2
DB00114	GADL1
DB00114	SCLY
DB00114	IGSF10
DB00114	PHYKPL
DB00114	GAD1
DB00114	SHMT2
DB00114	ALAS2
DB00114	GPT2
DB00114	MOCOS
DB00114	SDSL
DB00114	Q9BXA1
DB00114	SRR
DB00114	SEPSECS
DB00114	SPTLC3
DB00114	GAD65
DB00114	TLH6
DB00115	MTR
DB00115	MUT
DB00115	MTRR
DB00115	MMAA
DB00115	MMACHC
DB00115	MTHFR
DB00116	MTHFD1
DB00116	MTHFD2
DB00116	AMT
DB00116	ALDH1L1
DB00116	MTR
DB00116	FTCD
DB00116	ATIC
DB00116	SHMT1
DB00116	SHMT2
DB00116	MTHFR
DB00116	Q53ET4
DB00116	MTFMT
DB00117	HDC
DB00117	HARS
DB00117	SLC38A3
DB00117	HAL
DB00118	COMT
DB00118	CMTR1
DB00118	AS3MT
DB00118	GNMT
DB00118	AMD1
DB00118	MAT2A
DB00118	CBS
DB00118	MAT1A
DB00119	SLC16A3
DB00119	SLC16A2
DB00119	AGXT2
DB00119	SLC16A5
DB00119	PKLR
DB00119	SLC16A6
DB00119	SLC16A7
DB00119	PDHB
DB00119	PKM
DB00119	ABAT
DB00119	SLC16A4
DB00119	SLC16A8
DB00119	SLC16A1
DB00119	PC
DB00120	TAT
DB00120	SLC7A8
DB00120	FARSA
DB00120	PAH
DB00120	FARS2
DB00120	FARSB
DB00120	TH
DB00121	PCCB
DB00121	HLCS
DB00121	MCCC2
DB00121	ACACB
DB00121	MCCC1
DB00121	PC
DB00121	PCCA
DB00121	ACACA
DB00122	CHRNA7
DB00122	PCYT1B
DB00122	ACHE
DB00122	PCYT1A
DB00122	PLD2
DB00122	BCHE
DB00122	PLD1
DB00122	PHOSPHO1
DB00123	SLC7A1
DB00123	SLC7A4
DB00123	SLC7A3
DB00123	SLC7A2
DB00123	KARS
DB00125	SLC7A3
DB00125	AZIN2
DB00125	ASL
DB00125	NOS2
DB00125	SLC7A1
DB00125	ARG2
DB00125	SLC7A4
DB00125	ASS1
DB00125	NOS3
DB00126	PLOD2
DB00126	PHYH
DB00126	PLOD3
DB00126	BBOX1
DB00126	DBH
DB00126	PAM
DB00126	P3H1
DB00126	P3H2
DB00126	P3H3
DB00126	P4HA1
DB00126	OGFOD1
DB00126	OGFOD2
DB00126	ALKBH2
DB00126	ALKBH3
DB00126	KDM5D
DB00126	PLOD1
DB00126	TMLHE
DB00126	P4HTM
DB00126	EGLN1
DB00126	EGLN2
DB00126	EGLN3
DB00127	SMS
DB00127	SMOX
DB00127	ODC1
DB00127	CASR
DB00127	ADRB1
DB00127	ADRB2
DB00128	SLC25A13
DB00128	GOT1
DB00128	ASPA
DB00128	ASNS
DB00128	ASS1
DB00128	ACY1
DB00128	GOT2
DB00128	DARS
DB00128	SLC25A12
DB00128	ASPH
DB00128	PAICS
DB00128	ADSS
DB00128	SLC1A1
DB00128	ASS
DB00128	DARS2
DB00128	ASRGL1
DB00128	RNASE1
DB00128	LYZ
DB00129	OAT
DB00129	OTC
DB00129	ARG1
DB00129	OAZ1
DB00129	SLC7A1
DB00129	SLC7A2
DB00129	SLC25A2
DB00129	ARG2
DB00129	SLC25A15
DB00129	GATM
DB00130	CTPS1
DB00130	PPAT
DB00130	GLUL
DB00131	ADK
DB00131	PRKAB1
DB00131	ACSS2
DB00131	PRKAA1
DB00131	ADCY1
DB00131	ACSL1
DB00131	CREB1
DB00131	PDE4B
DB00131	HINT1
DB00131	PDE4D
DB00131	FBP1
DB00132	FADS1
DB00132	FADS2
DB00132	TRPV1
DB00132	PPARA
DB00132	NR1H4
DB00132	PPARD
DB00132	PPARG
DB00132	RXRA
DB00132	ELOVL2
DB00132	ELOVL5
DB00132	SLC8A1
DB00133	CBS
DB00133	SDS
DB00133	SRR
DB00133	SPTLC2
DB00133	SPTLC1
DB00133	SARS
DB00133	AGXT
DB00134	MTRR
DB00134	MTR
DB00134	METAP2
DB00134	BHMT
DB00134	BHMT2
DB00135	TH
DB00135	YARS2
DB00135	YARS
DB00135	TAT
DB00136	VDR
DB00136	HOXA10
DB00138	SLC7A11
DB00138	CTNS
DB00139	ALDH5A1
DB00139	SUCNR1
DB00140	RFK
DB00140	BLVRB
DB00141	B4GALT1
DB00141	B4GALT4
DB00141	NAGK
DB00141	NAGPA
DB00141	NAGLU
DB00141	RENBP
DB00142	GRM1
DB00142	GRM4
DB00142	GRIK4
DB00142	GRIK5
DB00142	GRM7
DB00142	GRM8
DB00142	SLC1A7
DB00142	OPLAH
DB00142	PFAS
DB00142	BCAT2
DB00142	GRIN2D
DB00142	GLS
DB00142	GOT2
DB00142	EPRS
DB00142	ASNS
DB00142	GLUL
DB00142	GOT1
DB00142	TAT
DB00142	GPT
DB00142	GGCX
DB00142	SLC1A3
DB00142	SLC1A2
DB00142	SLC1A1
DB00142	GCLC
DB00142	SLC1A6
DB00142	GLUD2
DB00142	GMPS
DB00142	BCAT1
DB00142	ABAT
DB00142	GRIN1
DB00142	FPGS
DB00142	ENPEP
DB00142	GRIN2A
DB00142	GRIN2B
DB00142	GRIN2C
DB00142	GIG18
DB00142	EARS2
DB00142	NADSYN1
DB00142	NAGS
DB00142	AADAT
DB00142	GRIN3A
DB00142	GPT2
DB00142	AASS
DB00142	GLS2
DB00142	DNPEP
DB00142	SLC7A11
DB00142	CPQ
DB00142	PSAT1
DB00142	GLUD1
DB00142	GRIK1
DB00142	GRIA1
DB00142	GCLM
DB00142	FOLH1
DB00142	GAD2
DB00142	GAD1
DB00142	FTCD
DB00142	GRIA2
DB00142	GRIA3
DB00142	GRIA4
DB00142	ALDH18A1
DB00142	GRIK2
DB00142	GRIK3
DB00143	AKR1B1
DB00143	MMP9
DB00143	CYP3A4
DB00143	GSR
DB00143	GSS
DB00143	GSTM1
DB00143	GSTK1
DB00143	GSTA3
DB00143	GSTM3
DB00143	GSTA4
DB00143	GSTM4
DB00143	GSTA5
DB00143	GSTP1
DB00143	GSTO1
DB00143	GPX1
DB00143	GPX2
DB00143	GSTT1
DB00143	GSTZ1
DB00143	GPX5
DB00143	GPX3
DB00143	GLO1
DB00143	LTC4S
DB00143	MGST3
DB00143	HPGDS
DB00143	GSTA1
DB00143	GSTA2
DB00143	MGST1
DB00143	ESD
DB00143	GGT1
DB00143	GSTM2
DB00143	GLRX
DB00143	GPX4
DB00143	GSTM5
DB00143	GPX6
DB00143	HAGH
DB00143	GPX1
DB00143	GPX7
DB00143	MGST2
DB00143	GSTO2
DB00143	GLRX2
DB00144	PISD
DB00144	SCARB1
DB00144	PRKCA
DB00144	PTDSS1
DB00144	DGKG
DB00144	DGKD
DB00144	PTDSS2
DB00144	SMPD4
DB00144	SMPD3
DB00144	ATP8A1
DB00145	GCAT
DB00145	ALAS1
DB00145	ALAS2
DB00145	GARS
DB00145	GRIN2A
DB00145	BAAT
DB00145	GPR18
DB00145	GSS
DB00145	GRIN2C
DB00145	Q53ET4
DB00145	GLYAT
DB00145	SHMT2
DB00145	GLYATL2
DB00145	GLYATL1
DB00145	AGXT2
DB00145	PIPOX
DB00145	GRIN3B
DB00145	GLRA1
DB00145	AGXT
DB00145	GLRB
DB00145	SHMT1
DB00145	GLRA3
DB00145	GLRA2
DB00145	GNMT
DB00145	GATM
DB00146	VDR
DB00147	PDXK
DB00148	CKM
DB00148	CKMT1A
DB00148	CKB
DB00148	CKMT2
DB00148	SLC6A8
DB00148	GAMT
DB00149	LARS2
DB00149	LCMT2
DB00149	LCMT1
DB00149	LARS
DB00149	BCAT2
DB00149	BCAT1
DB00150	WARS
DB00150	WARS2
DB00151	GCLM
DB00151	GCLC
DB00151	GOT1
DB00151	GOT2
DB00151	CTH
DB00151	CBS
DB00151	CARS
DB00151	MGMT
DB00151	GSS
DB00151	CARS2
DB00151	CSAD
DB00151	NFS1
DB00151	CDO1
DB00152	TPK1
DB00153	VDR
DB00154	PTGS2
DB00154	PTGS1
DB00155	NOS3
DB00155	ASS1
DB00155	DDAH2
DB00155	ASS
DB00155	DDAH1
DB00155	OTC
DB00155	NOS1
DB00155	NOS2
DB00155	PADI4
DB00155	PADI6
DB00155	PADI1
DB00155	PADI3
DB00155	PADI2
DB00156	TARS
DB00156	TARS2
DB00157	UGDH
DB00157	ADH1A
DB00157	SORD
DB00157	ADH4
DB00157	ADH1C
DB00157	ADH1B
DB00157	ADH7
DB00157	GPD1
DB00157	LDHAL6A
DB00157	ADH5
DB00157	AKR1B1
DB00157	HSD17B10
DB00157	MDH2
DB00157	LDHA
DB00157	ME2
DB00157	HSD17B4
DB00157	LDHAL6B
DB00157	LDHC
DB00157	LDHB
DB00157	EHHADH
DB00157	HADH
DB00157	ME3
DB00157	BDH1
DB00157	MDH1
DB00157	HIBADH
DB00157	HSD17B3
DB00157	HMGCR
DB00157	ME1
DB00157	PHGDH
DB00157	HSD17B7
DB00157	IDH3G
DB00157	IDH3B
DB00157	IDH3A
DB00157	HSD17B1
DB00157	HSD17B2
DB00157	RDH5
DB00157	H6PD
DB00157	HSD17B8
DB00157	AKR1C4
DB00157	IMPDH2
DB00157	AKR1C3
DB00157	HPGD
DB00157	TSTA3
DB00157	AKR1C1
DB00157	HSD11B1
DB00157	HSD3B2
DB00157	HSD3B1
DB00157	IMPDH1
DB00157	HADHA
DB00157	ALDH2
DB00157	HSD11B2
DB00157	AKR1C2
DB00157	NSDHL
DB00157	ALDH3B2
DB00157	ALDH6A1
DB00157	ALDH3A1
DB00157	ALDH1A1
DB00157	GAPDHS
DB00157	ALDH9A1
DB00157	ALDH1A3
DB00157	ALDH1B1
DB00157	ALDH3B1
DB00157	GAPDH
DB00157	ALDH1A2
DB00157	ALDH3A2
DB00157	ALDH5A1
DB00157	ALDH7A1
DB00157	BLVRB
DB00157	PYCR2
DB00157	PYCR1
DB00157	GLUD1
DB00157	PDHB
DB00157	PDHA2
DB00157	PDHA1
DB00157	BLVRA
DB00157	ACADS
DB00157	DHFR
DB00157	OGDH
DB00157	GLUD2
DB00157	DHCR7
DB00157	NQO2
DB00157	MT-ND2
DB00157	AASS
DB00157	MT-ND3
DB00157	NDUFS7
DB00157	MTHFD1
DB00157	MTHFD2
DB00157	ALDH4A1
DB00157	CYB5R3
DB00157	NDUFA11
DB00157	MT-ND4
DB00157	QDPR
DB00157	MT-ND1
DB00157	NNT
DB00157	NDUFA5
DB00157	NDUFA9
DB00157	MT-ND4L
DB00157	NDUFA10
DB00157	NDUFA7
DB00157	NDUFA1
DB00157	MT-ND6
DB00157	MT-ND5
DB00157	NDUFA4
DB00157	NDUFA6
DB00157	NDUFAB1
DB00157	NDUFA2
DB00157	NDUFA8
DB00157	NDUFA3
DB00157	NDUFB8
DB00157	NDUFC2
DB00157	NDUFB1
DB00157	NDUFS1
DB00157	NDUFB10
DB00157	NDUFB4
DB00157	NDUFB3
DB00157	NDUFB2
DB00157	NDUFB7
DB00157	NDUFB9
DB00157	NDUFS2
DB00157	NDUFB5
DB00157	NDUFC1
DB00157	NDUFB6
DB00157	NDUFV3
DB00157	DLD
DB00157	NDUFS3
DB00157	GSR
DB00157	NDUFA12
DB00157	NDUFS5
DB00157	NDUFS4
DB00157	NDUFV1
DB00157	NDUFV2
DB00157	NDUFA13
DB00157	CDO1
DB00157	NDUFS6
DB00157	NDUFA4L2
DB00157	NDUFS8
DB00157	CYP4A11
DB00157	DLAT
DB00157	AMT
DB00157	MSMO1
DB00157	HMOX1
DB00157	HMOX2
DB00157	CYP17A1
DB00157	TYR
DB00158	FOLR3
DB00158	FOLR2
DB00158	FOLR1
DB00159	PTGS2
DB00159	PTGS1
DB00159	PPARG
DB00159	PPARD
DB00159	FFAR1
DB00159	SLC8A1
DB00159	FABP7
DB00159	FADS1
DB00159	ACSL4
DB00159	TRPV1
DB00159	PPARA
DB00159	ALOX5
DB00160	AGXT
DB00160	GPT
DB00160	NFS1
DB00160	SLC36A1
DB00160	SLC7A8
DB00160	AGXT2
DB00160	AARS
DB00160	SLC1A4
DB00160	ABAT
DB00160	KYNU
DB00160	AARS2
DB00160	PHYKPL
DB00160	GPT2
DB00161	PCCB
DB00161	BCAT1
DB00161	VARS
DB00162	APOD
DB00162	PTGDS
DB00162	RDH12
DB00162	RDH5
DB00162	RDH13
DB00162	ALDH1A2
DB00162	ALDH1A1
DB00162	LRAT
DB00162	DHRS3
DB00162	ALDH1A3
DB00162	RETSAT
DB00162	RDH11
DB00162	DHRS4
DB00162	RDH14
DB00162	RDH8
DB00163	SEC14L4
DB00163	SEC14L3
DB00163	SEC14L2
DB00163	NR1I2
DB00163	PRKCB
DB00163	ALOX5
DB00163	PRKCA
DB00163	DGKA
DB00163	PPP2CB
DB00163	PPP2CA
DB00165	PDXK
DB00166	LIPT1
DB00166	SLC5A6
DB00166	LIAS
DB00167	ACADSB
DB00167	BCAT1
DB00167	BCAT2
DB00167	IARS
DB00167	IARS2
DB00168	TAS1R3
DB00168	TAS1R2
DB00168	TRPV1
DB00169	VDR
DB00170	GGCX
DB00170	VKORC1
DB00170	VKORC1L1
DB00170	F2
DB00170	F9
DB00170	PROC
DB00170	PROS1
DB00170	NQO2
DB00170	NQO1
DB00170	BGLAP
DB00171	ABCC6
DB00171	ABCC4
DB00171	ABCC1
DB00171	CFTR
DB00171	PIK3CA
DB00171	CSNK2A1
DB00171	CSNK2B
DB00171	P2RY11
DB00171	PPP5C
DB00171	ABL2
DB00171	ABCA1
DB00171	ACSS2
DB00171	ALK
DB00171	NAE1
DB00171	PRKAA1
DB00171	ARAF
DB00171	ACVRL1
DB00171	ACSL1
DB00171	NT5C2
DB00171	ASNA1
DB00171	ABCC9
DB00171	AKT1
DB00171	ADRBK1
DB00171	APAF1
DB00171	ACSS1
DB00171	ACVR1B
DB00171	ACVR1
DB00171	ABCB11
DB00171	ASNS
DB00171	CDK15
DB00171	SLC25A4
DB00171	ABCC8
DB00171	ASS1
DB00171	AFG3L2
DB00171	ADRBK2
DB00171	AMHR2
DB00171	TNK2
DB00171	ABL1
DB00171	ADCY1
DB00171	ABCB1
DB00171	ABCG1
DB00171	ABCC2
DB00172	PYCR1
DB00172	EPRS
DB00172	SLC6A14
DB00172	SLC6A7
DB00172	PYCR2
DB00172	P4HA2
DB00172	PRODH
DB00172	PPIH
DB00172	PROSC
DB00172	P4HA1
DB00172	PPIB
DB00172	PPIF
DB00172	PPIC
DB00172	PPIA
DB00172	PPIG
DB00172	P3H1
DB00172	P5CR2
DB00172	PARS2
DB00172	P3H2
DB00172	P3H3
DB00172	PYCRL
DB00172	L3HYPDH
DB00173	APRT
DB00173	MTAP
DB00173	ACACB
DB00173	ACP1
DB00173	PECR
DB00173	SRPK2
DB00174	SLC1A5
DB00174	ASNS
DB00174	NARS
DB00174	ASRGL1
DB00174	NARS2
DB00175	HMGCR
DB00175	HDAC2
DB00176	SLC6A4
DB00176	KCNH2
DB00177	AGTR1
DB00178	ACE
DB00178	BDKRB1
DB00179	ALOX5
DB00179	SHBG
DB00179	TRPM7
DB00180	NR3C1
DB00181	GABBR2
DB00181	CXCR4
DB00181	GABBR1
DB00182	SLC18A2
DB00182	SLC6A3
DB00182	CARTPT
DB00182	TAAR1
DB00182	VMAT2
DB00182	SLC6A2
DB00182	DRD2
DB00182	MAOB
DB00182	SLC6A4
DB00183	CCKBR
DB00184	CHRNA4
DB00184	CHRNA7
DB00184	CHRNB2
DB00184	CHRNA2
DB00184	CHRNA3
DB00184	CHRNA5
DB00184	CHRNA6
DB00184	CHRNA9
DB00184	CHRNA10
DB00184	CHRNB3
DB00184	CHRNB4
DB00184	CYP19A1
DB00184	CHAT
DB00185	CHRM3
DB00185	CHRM1
DB00187	ADRB1
DB00188	PSMB5
DB00188	PSMB1
DB00190	DDC
DB00191	SLC6A2
DB00191	SLC6A4
DB00191	SLC6A3
DB00191	MAOA
DB00191	MAOB
DB00191	NPY
DB00192	SCN5A
DB00193	OPRM1
DB00193	SLC6A2
DB00193	SLC6A4
DB00193	SCN2A
DB00193	ADORA1
DB00193	HTR2C
DB00193	OPRK1
DB00193	OPRD1
DB00193	CHRNA7
DB00193	CHRM3
DB00193	CHRM1
DB00193	TACR1
DB00193	TRPV1
DB00195	ADRB1
DB00195	ADRB2
DB00197	PPARG
DB00197	ESRRG
DB00197	ESRRA
DB00197	PPARD
DB00197	PPARA
DB00197	GSTP1
DB00197	ACSL4
DB00197	SERPINE1
DB00197	SLC29A1
DB00198	NEU1
DB00198	NEU2
DB00199	MLNR
DB00199	KCNH2
DB00200	MTR
DB00200	MUT
DB00200	MMAA
DB00200	TCN1
DB00200	AMN
DB00200	CUBN
DB00200	MMACHC
DB00201	ADORA1
DB00201	ADORA2A
DB00201	ADORA2B
DB00201	ADORA3
DB00201	PDE4B
DB00201	RYR1
DB00201	PRKDC
DB00201	PIK3CD
DB00201	PIK3CA
DB00201	PIK3CB
DB00201	ATM
DB00202	CHRM2
DB00202	CHRM3
DB00203	PDE5A
DB00203	PDE6G
DB00203	PDE6H
DB00203	ODC1
DB00203	CD274
DB00204	KCNH2
DB00204	KCNK2
DB00204	KCNJ12
DB00205	DHFR
DB00205	HEXB
DB00206	SLC18A2
DB00206	SLC18A1
DB00206	BIRC5
DB00207	PADI4
DB00208	P2RY12
DB00209	CHRM3
DB00209	CHRM1
DB00210	RARB
DB00210	RARG
DB00210	RXRB
DB00210	RXRG
DB00210	RXRA
DB00210	JUN
DB00210	TLR2
DB00210	RARA
DB00210	GOT1
DB00211	ADRA1A
DB00211	ADRA1B
DB00211	ADRA1D
DB00212	REN
DB00213	ATP4A
DB00213	DDAH1
DB00214	SLC12A2
DB00214	SLC12A1
DB00215	SLC6A4
DB00215	HRH1
DB00216	HTR1D
DB00216	HTR1B
DB00216	HTR1F
DB00216	HTR1A
DB00217	KCNJ1
DB00218	TOP2A
DB00218	PON1
DB00219	CHRM1
DB00221	ADRB1
DB00221	ADRB2
DB00222	KCNJ11
DB00222	KCNJ1
DB00222	ABCC8
DB00223	NR3C1
DB00226	SLC6A2
DB00227	HMGCR
DB00227	ITGAL
DB00227	HDAC2
DB00228	GLRA1
DB00228	ATP2C1
DB00228	ATP2A1
DB00230	CACNA2D1
DB00232	SLC12A1
DB00232	CA1
DB00232	CA2
DB00232	CA4
DB00233	PTGS2
DB00233	CHUK
DB00233	ALOX5
DB00233	PLA2G2E
DB00234	SLC6A2
DB00235	PDE3A
DB00237	GRIA1
DB00237	GRIA2
DB00237	GRIA3
DB00237	GRIA4
DB00237	GRIK1
DB00237	GRIK2
DB00237	GRIK3
DB00237	GRIK4
DB00237	GRIK5
DB00239	NR1I2
DB00240	NR3C1
DB00241	GABRA2
DB00241	GABRA3
DB00241	GABRA4
DB00241	GABRA5
DB00241	GABRA6
DB00241	GABRA1
DB00241	CHRNA4
DB00241	CHRNA7
DB00241	GRIA2
DB00241	GRIK2
DB00242	RRM1
DB00242	RRM2
DB00242	RRM2B
DB00242	POLA1
DB00242	POLE
DB00242	POLE2
DB00242	POLE3
DB00242	POLE4
DB00242	PNP
DB00243	ADRB1
DB00244	PTGS2
DB00244	PTGS1
DB00244	ALOX5
DB00244	PPARG
DB00244	CHUK
DB00244	IKBKB
DB00244	NOS2
DB00245	CHRM1
DB00245	SLC6A3
DB00245	HRH1
DB00245	SLC6A4
DB00245	SLC6A2
DB00246	DRD2
DB00246	HTR2A
DB00246	HTR1A
DB00246	HTR1D
DB00246	HTR2C
DB00246	DRD1
DB00246	DRD5
DB00246	DRD3
DB00246	DRD4
DB00246	HTR1B
DB00246	HTR1E
DB00246	HTR6
DB00246	HTR7
DB00246	HRH1
DB00246	ADRA1A
DB00246	ADRA1B
DB00246	ADRA2A
DB00246	ADRA2B
DB00246	ADRA2C
DB00246	CHRM1
DB00246	CHRM2
DB00246	CHRM3
DB00246	CHRM4
DB00246	CHRM5
DB00246	HTR5A
DB00247	HTR2B
DB00247	HTR2C
DB00247	HTR2A
DB00247	HTR1A
DB00247	HTR7
DB00247	HTR1B
DB00247	HTR1F
DB00247	HTR1E
DB00248	DRD2
DB00248	HTR2B
DB00248	DRD3
DB00248	HTR2A
DB00248	ADRA2B
DB00248	HTR1D
DB00248	DRD4
DB00248	ADRA2A
DB00248	HTR1A
DB00248	ADRA2C
DB00248	DRD5
DB00248	DRD1
DB00248	HTR1B
DB00248	HTR2C
DB00248	HTR7
DB00248	ADRA1A
DB00248	ADRA1B
DB00248	ADRA1D
DB00248	ADRB1
DB00248	ADRB2
DB00252	SCN5A
DB00252	SCN1A
DB00252	KCNH2
DB00252	SCN2A
DB00252	SCN8A
DB00252	NR1I2
DB00252	SCN1B
DB00252	SCN3A
DB00253	NR3C1
DB00255	ESR2
DB00255	ESR1
DB00255	ESRRG
DB00255	ESRRA
DB00255	ESRRB
DB00255	NCOA2
DB00255	NR1I2
DB00255	AR
DB00255	SHBG
DB00257	KCNN4
DB00257	NR1I2
DB00257	HCAR2
DB00261	PDE3A
DB00262	GSR
DB00264	ADRB1
DB00264	ADRB2
DB00266	VKORC1
DB00266	NQO1
DB00266	CRYZ
DB00268	DRD3
